road_id,road_name,state,rainfall_last_1h,rainfall_last_24h,forecast_rainfall_6h,forecast_rainfall_12h,forecast_rainfall_24h,severe_weather_flag,historical_incident_count,historical_landslide_count,historical_flood_count,previous_road_closures,road_condition_score,elevation,slope,recent_incident_count,recent_incident_severity_score,current_risk_score,disrupted
11,NH-10 Teesta River Canyon,Sikkim,9.9,25.8,22.2,49.6,85.6,False,5,5,0,2,45.7,1568.1,45.9,2,75.0,49.9,0
11,NH-10 Teesta River Canyon,Sikkim,1.7,12.3,1.8,3.6,7.2,False,4,4,0,1,69.0,1508.2,42.6,0,0.0,29.3,1
2,NH-13 Trans-Arunachal,Arunachal Pradesh,11.6,59.7,12.3,26.9,47.7,False,8,3,5,1,64.5,1680.4,34.8,2,75.0,53.3,0
12,NH-27S Haflong Hill,Assam,9.9,81.1,8.3,12.5,28.9,True,3,3,0,3,35.4,983.2,48.2,3,75.0,55.9,1
1,NH-27 Assam Arterial,Assam,0.0,0.2,0.1,0.2,0.3,False,1,1,0,0,40.2,50.0,12.5,0,0.0,10.6,0
4,NH-06 Meghalaya Corridor,Meghalaya,0.4,1.4,4.1,8.3,16.5,False,8,1,7,1,56.2,1386.0,8.1,1,45.0,23.6,0
6,NH-02 Imphal Lifeline,Manipur,0.2,1.0,7.2,14.3,28.6,False,6,2,4,0,46.5,989.0,36.8,0,0.0,18.5,0
7,NH-102 Moreh Border,Manipur,2.1,8.6,78.4,130.4,275.9,True,3,2,1,0,62.6,695.2,13.0,3,45.0,29.0,1
12,NH-27S Haflong Hill,Assam,0.6,2.3,16.5,29.8,73.6,False,4,2,2,0,56.1,972.0,20.6,0,0.0,17.0,0
4,NH-06 Meghalaya Corridor,Meghalaya,0.9,6.0,0.2,0.5,1.0,False,9,1,8,2,37.1,1646.1,25.8,0,0.0,13.9,0
3,NH-229 Sela Pass,Arunachal Pradesh,0.0,0.3,18.7,31.4,51.7,False,9,6,3,3,40.7,3943.9,36.9,1,95.0,49.3,0
3,NH-229 Sela Pass,Arunachal Pradesh,63.4,169.3,8.2,12.2,30.0,True,12,4,8,4,49.1,3922.4,47.4,4,95.0,78.6,1
11,NH-10 Teesta River Canyon,Sikkim,4.6,16.1,1.8,3.6,7.2,False,10,4,6,0,63.2,1649.2,50.5,0,0.0,30.7,0
1,NH-27 Assam Arterial,Assam,13.3,80.8,11.2,27.0,63.4,True,2,2,0,0,59.3,50.0,4.0,3,75.0,48.6,1
2,NH-13 Trans-Arunachal,Arunachal Pradesh,0.5,4.5,84.7,139.1,213.7,True,3,3,0,2,62.0,2040.0,29.8,0,0.0,22.1,0
6,NH-02 Imphal Lifeline,Manipur,4.6,35.4,10.8,23.8,44.0,False,4,4,0,0,39.2,1096.2,23.2,0,0.0,25.6,0
3,NH-229 Sela Pass,Arunachal Pradesh,0.4,1.5,54.2,104.9,183.1,True,9,1,8,1,48.8,3982.7,39.2,3,75.0,36.2,1
7,NH-102 Moreh Border,Manipur,2.2,7.9,3.3,6.6,13.3,False,2,2,0,1,38.1,596.7,25.3,0,0.0,16.4,0
9,NH-54 Aizawl Ridge,Mizoram,10.1,77.3,54.1,83.5,151.3,True,3,2,1,4,72.8,1099.1,22.7,0,0.0,34.9,0
3,NH-229 Sela Pass,Arunachal Pradesh,3.2,12.5,0.2,0.5,1.0,False,6,4,2,1,75.7,3968.7,45.4,0,0.0,30.9,1
7,NH-102 Moreh Border,Manipur,0.6,4.7,73.5,143.7,280.5,True,5,2,3,1,33.7,604.7,16.0,3,45.0,24.4,0
1,NH-27 Assam Arterial,Assam,0.2,1.0,3.4,6.9,13.7,False,2,0,2,1,61.7,112.8,8.4,0,0.0,11.1,0
11,NH-10 Teesta River Canyon,Sikkim,33.3,272.6,20.2,36.2,52.5,True,11,5,6,5,38.2,1585.2,47.0,2,95.0,78.9,1
12,NH-27S Haflong Hill,Assam,1.8,16.1,0.1,0.1,0.3,False,5,5,0,0,57.4,1124.7,29.6,0,0.0,27.7,1
2,NH-13 Trans-Arunachal,Arunachal Pradesh,19.6,65.4,2.0,4.1,8.1,False,7,4,3,3,72.5,1875.5,40.9,0,0.0,40.1,0
3,NH-229 Sela Pass,Arunachal Pradesh,4.0,28.4,0.7,1.2,1.9,True,3,3,0,5,74.3,3874.9,41.9,0,0.0,31.2,0
1,NH-27 Assam Arterial,Assam,3.9,16.4,69.5,139.3,254.4,True,1,0,1,0,34.8,175.0,2.4,1,95.0,32.7,0
5,SH-05 Cherrapunjee Highland,Meghalaya,10.6,35.3,2.3,5.6,12.3,False,3,3,0,2,79.7,1141.1,39.1,1,45.0,44.1,1
8,NH-29 Kohima Mountain,Nagaland,4.7,16.5,0.2,0.3,0.6,False,5,5,0,1,36.5,1524.3,37.8,0,0.0,26.3,1
11,NH-10 Teesta River Canyon,Sikkim,8.5,32.6,4.5,8.7,18.1,False,4,4,0,2,37.1,1731.9,38.7,4,75.0,46.6,0
9,NH-54 Aizawl Ridge,Mizoram,1.2,6.8,10.8,21.5,43.1,False,3,1,2,0,7.0,1125.7,26.7,0,0.0,9.7,0
11,NH-10 Teesta River Canyon,Sikkim,4.0,32.3,1.3,2.5,5.1,False,11,4,7,2,40.2,1822.7,43.6,0,0.0,29.2,1
4,NH-06 Meghalaya Corridor,Meghalaya,4.8,41.8,4.9,11.7,26.7,True,6,2,4,3,58.8,1475.5,24.5,2,95.0,49.8,1
12,NH-27S Haflong Hill,Assam,0.3,1.2,0.6,1.1,2.3,False,4,4,0,1,36.8,1087.0,34.3,0,0.0,20.6,0
2,NH-13 Trans-Arunachal,Arunachal Pradesh,6.5,38.4,43.3,77.0,149.4,True,6,5,1,1,47.7,2076.5,36.4,4,95.0,55.9,1
3,NH-229 Sela Pass,Arunachal Pradesh,0.3,0.9,0.3,0.7,1.4,False,9,5,4,2,62.3,3974.4,56.7,0,0.0,29.5,1
8,NH-29 Kohima Mountain,Nagaland,0.0,0.1,6.7,13.4,26.9,False,8,6,2,3,73.3,1431.8,31.2,4,45.0,40.5,1
7,NH-102 Moreh Border,Manipur,4.9,22.3,17.1,33.9,50.1,False,3,1,2,0,45.0,562.6,2.0,0,0.0,13.6,0
2,NH-13 Trans-Arunachal,Arunachal Pradesh,28.3,135.5,13.5,33.3,56.5,True,5,3,2,1,100.0,1832.8,34.9,0,0.0,55.1,0
2,NH-13 Trans-Arunachal,Arunachal Pradesh,1.2,3.7,11.6,21.9,39.2,True,5,3,2,0,40.1,1683.9,36.9,4,75.0,38.9,1
8,NH-29 Kohima Mountain,Nagaland,0.3,1.5,4.2,10.3,17.1,False,4,1,3,3,64.7,1357.8,35.7,1,45.0,30.4,1
9,NH-54 Aizawl Ridge,Mizoram,0.1,0.7,0.1,0.1,0.3,False,6,3,3,1,42.2,1203.6,19.5,0,0.0,16.4,0
3,NH-229 Sela Pass,Arunachal Pradesh,53.7,163.1,3.5,6.5,9.8,True,7,5,2,0,96.1,3605.6,45.3,4,95.0,87.2,1
3,NH-229 Sela Pass,Arunachal Pradesh,1.3,12.7,4.2,6.4,9.6,False,8,3,5,1,35.7,3957.6,36.5,4,75.0,39.9,1
12,NH-27S Haflong Hill,Assam,0.6,2.8,1.6,3.2,6.5,False,4,2,2,1,51.4,1022.4,23.8,0,0.0,17.0,0
3,NH-229 Sela Pass,Arunachal Pradesh,14.8,64.1,7.6,11.9,18.4,False,6,6,0,1,62.4,4115.6,46.9,1,45.0,54.8,0
1,NH-27 Assam Arterial,Assam,12.4,65.7,79.3,116.0,167.8,True,3,1,2,0,48.0,54.8,6.1,2,45.0,34.8,1
9,NH-54 Aizawl Ridge,Mizoram,8.5,71.0,8.8,13.8,24.6,True,5,1,4,5,77.4,1178.2,26.9,0,0.0,33.2,0
4,NH-06 Meghalaya Corridor,Meghalaya,10.4,36.0,58.9,93.5,134.5,True,4,2,2,0,77.9,1444.8,25.4,0,0.0,28.0,0
10,NH-08 Tripura Central,Tripura,5.2,13.5,22.5,42.8,100.3,True,4,1,3,1,88.2,50.0,10.7,0,0.0,20.1,1
10,NH-08 Tripura Central,Tripura,2.2,14.4,4.7,7.4,16.2,False,1,1,0,0,50.2,199.4,15.3,3,45.0,26.7,1
7,NH-102 Moreh Border,Manipur,3.6,13.9,14.3,33.5,58.4,False,2,2,0,0,23.4,593.5,5.5,1,45.0,22.6,1
10,NH-08 Tripura Central,Tripura,2.0,10.3,0.2,0.4,0.8,False,0,0,0,1,35.2,459.0,5.8,2,75.0,27.2,0
3,NH-229 Sela Pass,Arunachal Pradesh,1.0,6.7,5.3,10.5,21.1,False,13,4,9,3,33.2,4006.6,46.9,0,0.0,23.7,0
3,NH-229 Sela Pass,Arunachal Pradesh,63.3,218.5,6.5,11.5,19.6,True,10,3,7,2,88.2,3766.2,44.3,3,75.0,76.8,1
11,NH-10 Teesta River Canyon,Sikkim,5.9,32.5,107.5,200.8,380.3,True,7,7,0,3,88.0,1710.1,36.5,0,0.0,41.0,1
11,NH-10 Teesta River Canyon,Sikkim,26.6,109.9,67.5,102.1,224.1,True,10,4,6,1,50.6,1481.3,47.4,0,0.0,47.0,1
2,NH-13 Trans-Arunachal,Arunachal Pradesh,0.5,4.9,0.2,0.4,0.8,False,7,2,5,1,53.6,1999.4,48.4,0,0.0,22.7,1
6,NH-02 Imphal Lifeline,Manipur,17.9,66.7,0.2,0.3,0.6,False,2,0,2,1,39.7,1249.7,25.8,4,45.0,35.7,1
1,NH-27 Assam Arterial,Assam,1.8,6.1,22.2,32.6,79.7,False,0,0,0,1,34.4,205.9,14.3,1,45.0,20.5,1
3,NH-229 Sela Pass,Arunachal Pradesh,3.8,18.0,4.2,8.5,17.0,False,5,5,0,2,43.2,4294.8,41.4,0,0.0,28.4,0
7,NH-102 Moreh Border,Manipur,120.0,308.5,19.0,31.4,68.3,True,0,0,0,0,44.0,763.0,22.5,2,75.0,59.9,1
6,NH-02 Imphal Lifeline,Manipur,17.0,74.7,9.8,14.1,27.6,True,2,2,0,0,59.6,1100.1,23.1,3,75.0,51.2,1
1,NH-27 Assam Arterial,Assam,1.3,10.6,3.1,6.3,12.6,False,1,0,1,1,65.1,50.0,7.8,0,0.0,13.4,1
9,NH-54 Aizawl Ridge,Mizoram,0.6,2.3,1.5,2.9,5.9,False,4,4,0,0,53.4,1243.0,32.9,0,0.0,23.0,1
4,NH-06 Meghalaya Corridor,Meghalaya,0.9,3.3,1.4,2.8,5.6,False,3,1,2,2,57.7,1257.6,26.3,0,0.0,16.6,0
1,NH-27 Assam Arterial,Assam,17.5,48.4,3.1,6.5,15.0,False,0,0,0,0,45.4,229.9,7.5,0,0.0,18.0,0
